Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Allergy,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Allergy,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Allergy,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Allergy,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Allergy,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
GERD,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
GERD,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
GERD,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
GERD,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
GERD,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
GERD,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
GERD,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
GERD,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
GERD,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
GERD,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Chronic cholestasis,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Chronic cholestasis,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Chronic cholestasis,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Chronic cholestasis,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Chronic cholestasis,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Chronic cholestasis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Chronic cholestasis,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Chronic cholestasis,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Chronic cholestasis,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Chronic cholestasis,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Drug Reaction,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Drug Reaction,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Drug Reaction,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Drug Reaction,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Drug Reaction,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Drug Reaction,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Drug Reaction,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Drug Reaction,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Drug Reaction,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Drug Reaction,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Peptic ulcer diseae,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Peptic ulcer diseae,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Peptic ulcer diseae,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Peptic ulcer diseae,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Peptic ulcer diseae,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Peptic ulcer diseae,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Peptic ulcer diseae,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Peptic ulcer diseae,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Peptic ulcer diseae,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Peptic ulcer diseae,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
AIDS,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
AIDS,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
AIDS,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
AIDS,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
AIDS,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
AIDS,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
AIDS,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
AIDS,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
AIDS,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
AIDS,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Diabetes ,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Diabetes ,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Diabetes ,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Diabetes ,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Diabetes ,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Diabetes ,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Diabetes ,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Diabetes ,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Diabetes ,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Diabetes ,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Gastroenteritis,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Gastroenteritis,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Gastroenteritis,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Gastroenteritis,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Gastroenteritis,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Gastroenteritis,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
